customer_id,age,monthly_income,credit_score,tenure_years,monthly_spend,support_tickets,late_payments,satisfaction_score,contract_type,payment_method,usage_hours,churn
CUST100019,39,66903.0,669.0,10.3,7988.0,3,2,5.4,Monthly,Bank Transfer,44.9,Yes
CUST100020,42,72194.0,694.0,4.0,7622.0,0,1,7.5,Monthly,Bank Transfer,56.1,No
CUST100021,35,47564.0,665.0,3.7,5461.0,0,1,7.8,Annual,UPI,21.1,No
CUST100022,26,65585.0,663.0,4.0,11267.0,1,1,6.2,Annual,Card,41.2,Yes
CUST100023,62,77552.0,775.0,0.3,13714.0,1,0,7.3,Two-Year,Auto Debit,40.8,Yes
CUST100024,55,78600.0,653.0,1.2,6552.0,0,0,4.9,Monthly,Card,38.9,Yes
CUST100025,48,99141.0,664.0,2.8,10437.0,3,0,5.9,Annual,Bank Transfer,25.5,Yes
CUST100026,37,93094.0,603.0,8.1,10013.0,2,1,7.6,Monthly,Bank Transfer,25.8,Yes
CUST100027,57,42972.0,648.0,4.4,8528.0,2,2,9.6,Two-Year,Auto Debit,23.2,Yes
CUST100028,44,102039.0,596.0,2.9,3157.0,1,0,9.0,Annual,Bank Transfer,22.9,No
CUST100029,39,53319.0,725.0,8.4,3944.0,0,0,8.1,Annual,Auto Debit,19.4,No
CUST100030,39,87987.0,844.0,9.5,5767.0,2,1,7.1,Monthly,Auto Debit,30.4,No
CUST100031,28,66496.0,670.0,8.5,1013.0,2,1,6.9,Monthly,UPI,20.6,No
CUST100032,22,55933.0,598.0,1.8,13428.0,4,0,4.5,Monthly,Auto Debit,38.5,Yes
CUST100033,44,25231.0,739.0,2.9,9787.0,1,0,5.6,Two-Year,Auto Debit,32.9,No
CUST100034,60,61226.0,650.0,10.3,8395.0,0,1,5.6,Monthly,UPI,34.5,Yes
CUST100035,21,30694.0,761.0,5.3,1000.0,1,1,8.0,Two-Year,Card,27.9,No
CUST100036,59,86281.0,674.0,3.6,2116.0,2,0,8.6,Monthly,Card,33.0,No
CUST100037,57,98369.0,655.0,6.8,8492.0,4,1,8.3,Annual,Auto Debit,28.3,No
CUST100038,31,47468.0,680.0,7.7,15397.0,0,1,9.0,Monthly,Card,43.7,No
CUST100039,48,71643.0,732.0,2.7,6055.0,1,1,7.1,Monthly,UPI,25.4,No
CUST100040,25,49041.0,677.0,5.2,11523.0,2,1,5.3,Annual,UPI,37.6,Yes
CUST100041,54,51173.0,663.0,7.5,6820.0,2,1,6.9,Monthly,Auto Debit,12.4,Yes
CUST100042,51,82039.0,679.0,0.8,8693.0,3,3,5.8,Monthly,UPI,42.7,Yes
CUST100043,35,64152.0,620.0,4.5,12751.0,0,0,8.1,Annual,Card,23.6,No
CUST100044,21,,712.0,0.9,7289.0,0,2,6.4,Monthly,Bank Transfer,18.3,Yes
CUST100045,64,54391.0,592.0,1.4,6085.0,1,0,6.8,Annual,UPI,14.9,Yes
CUST100046,39,86985.0,666.0,2.7,13463.0,3,0,8.2,Annual,UPI,13.7,Yes
CUST100047,60,67143.0,,6.0,8659.0,1,0,5.7,Monthly,Auto Debit,24.8,No
CUST100048,50,82507.0,707.0,3.5,12319.0,1,1,8.6,Monthly,Card,54.5,No
CUST100049,55,55163.0,722.0,2.4,6102.0,1,0,4.7,Monthly,Card,22.4,Yes
CUST100050,54,63910.0,686.0,4.7,13423.0,2,2,7.5,Monthly,Auto Debit,2.0,Yes
CUST100051,27,62459.0,754.0,0.8,9458.0,0,0,6.8,Monthly,UPI,37.5,No
CUST100052,35,46607.0,741.0,5.9,10022.0,2,0,8.4,Annual,Card,15.3,No
CUST100053,40,79566.0,715.0,8.1,8961.0,0,1,4.7,Monthly,Auto Debit,44.2,Yes
CUST100054,41,79305.0,741.0,4.2,6731.0,0,1,4.4,Two-Year,Auto Debit,25.7,Yes
CUST100055,20,78058.0,731.0,3.9,8494.0,1,1,8.3,Annual,Card,27.9,No
CUST100056,44,98813.0,666.0,5.7,6951.0,2,2,6.3,Monthly,Auto Debit,50.0,Yes
CUST100057,25,96886.0,616.0,0.0,11858.0,1,1,6.8,Annual,Bank Transfer,41.3,No
CUST100058,53,56751.0,713.0,6.2,7789.0,1,1,5.9,Monthly,Bank Transfer,13.3,No
CUST100059,50,73207.0,720.0,14.4,3262.0,2,0,8.6,Monthly,Auto Debit,15.5,Yes
CUST100060,62,51281.0,750.0,4.1,2622.0,2,1,7.5,Two-Year,Bank Transfer,5.2,Yes
CUST100061,53,65514.0,639.0,4.1,2456.0,0,1,7.4,Monthly,Card,71.0,Yes
CUST100062,35,51806.0,640.0,6.9,10663.0,2,1,5.0,Monthly,Bank Transfer,19.1,Yes
CUST100063,64,100642.0,715.0,9.8,4470.0,2,0,7.9,Two-Year,UPI,49.5,No
CUST100064,37,73001.0,686.0,7.6,9550.0,0,1,5.3,Two-Year,Card,24.0,No
CUST100065,33,60203.0,586.0,0.0,8978.0,2,1,,Annual,Bank Transfer,15.8,Yes
CUST100066,61,91260.0,711.0,6.3,8274.0,4,0,4.7,Annual,Card,32.3,Yes
CUST100067,35,18000.0,588.0,12.7,10034.0,2,1,6.7,Annual,Bank Transfer,27.1,Yes
CUST100068,21,20690.0,638.0,6.5,9054.0,0,2,8.8,Annual,Card,44.0,Yes
CUST100069,40,82508.0,764.0,0.8,1000.0,1,3,7.4,Annual,UPI,44.2,Yes
CUST100070,56,66330.0,790.0,5.4,7367.0,2,2,6.2,Two-Year,UPI,23.1,Yes
CUST100071,27,70510.0,623.0,0.4,9988.0,2,0,,Annual,Bank Transfer,10.4,No
CUST100072,40,35819.0,672.0,8.4,14241.0,0,0,7.2,Monthly,UPI,14.0,No
CUST100073,24,64489.0,692.0,1.4,14403.0,1,3,7.1,Monthly,Card,2.0,Yes
CUST100074,50,109077.0,788.0,4.7,3729.0,1,0,7.3,Monthly,Bank Transfer,27.9,No
CUST100075,40,83132.0,663.0,1.8,7276.0,3,1,5.2,Monthly,UPI,31.8,Yes
CUST100076,33,68734.0,664.0,2.8,3019.0,2,0,7.2,Monthly,Card,14.9,Yes
CUST100077,28,55341.0,775.0,9.3,13820.0,3,0,4.0,Monthly,Card,13.0,Yes
CUST100078,45,56319.0,669.0,4.8,12045.0,2,1,8.0,Two-Year,Card,31.8,No
CUST100079,50,18158.0,730.0,2.7,9727.0,1,1,5.1,Monthly,Auto Debit,22.5,Yes
CUST100080,63,70668.0,609.0,0.8,9081.0,0,0,9.0,Monthly,Auto Debit,28.8,Yes
CUST100081,38,83601.0,681.0,0.0,13332.0,2,1,2.8,Two-Year,Card,26.5,Yes
CUST100082,25,30336.0,599.0,0.5,12740.0,1,0,9.8,Monthly,Auto Debit,35.7,No
CUST100083,57,50449.0,632.0,4.9,12553.0,5,1,4.2,Annual,UPI,23.5,Yes
CUST100084,48,39536.0,736.0,7.6,10098.0,1,2,5.0,Annual,Card,24.7,Yes
CUST100085,51,43762.0,687.0,2.7,7278.0,1,0,7.5,Annual,Auto Debit,3.8,No
CUST100086,22,66177.0,672.0,9.5,11185.0,1,0,8.1,Monthly,UPI,31.2,Yes
CUST100087,32,19143.0,649.0,2.2,11356.0,1,1,6.5,Monthly,Card,33.3,Yes
CUST100088,54,78514.0,678.0,3.7,7833.0,4,0,8.5,Annual,Auto Debit,29.3,No
CUST100089,57,81585.0,707.0,1.0,7271.0,2,2,5.6,Monthly,Auto Debit,60.7,Yes
CUST100090,38,59476.0,744.0,7.7,12467.0,1,1,6.3,Monthly,Auto Debit,34.4,No
CUST100091,56,18000.0,546.0,11.2,14324.0,1,1,6.5,Monthly,Auto Debit,29.7,Yes
CUST100092,58,43079.0,644.0,0.0,5877.0,0,1,6.1,Annual,Auto Debit,39.5,Yes
CUST100093,36,92124.0,699.0,3.4,7578.0,2,1,3.7,Annual,Card,63.7,Yes
CUST100094,61,18000.0,685.0,8.5,9728.0,0,1,7.0,Annual,Card,35.8,Yes
CUST100095,31,57354.0,712.0,0.0,10203.0,0,3,6.8,Annual,Card,2.0,No
CUST100096,29,39040.0,705.0,6.3,6672.0,3,0,8.8,Monthly,UPI,38.5,No
CUST100097,50,82701.0,673.0,8.4,15092.0,3,2,4.8,Two-Year,UPI,18.8,Yes
CUST100098,48,50147.0,661.0,4.8,9977.0,2,1,5.9,Two-Year,Auto Debit,3.2,No
CUST100099,24,73887.0,676.0,6.3,10360.0,0,1,9.0,Monthly,UPI,57.5,No
CUST100100,57,77440.0,753.0,10.1,14656.0,0,0,7.5,Annual,Bank Transfer,54.2,No
CUST100101,27,105397.0,650.0,10.7,6928.0,2,2,7.9,Monthly,UPI,18.4,Yes
CUST100102,56,60535.0,687.0,4.3,8190.0,0,1,7.8,Two-Year,Bank Transfer,18.5,No
CUST100103,18,73273.0,700.0,2.8,4113.0,3,0,7.8,Monthly,Card,34.4,No
CUST100104,56,32329.0,776.0,1.6,7897.0,4,2,10.0,Monthly,UPI,18.7,Yes
CUST100105,55,91189.0,673.0,7.6,3289.0,2,0,7.2,Two-Year,Card,30.0,No
CUST100106,55,48269.0,743.0,0.1,11117.0,2,0,5.3,Annual,Bank Transfer,21.3,Yes
CUST100107,49,52663.0,758.0,3.7,9970.0,2,0,8.1,Monthly,Auto Debit,26.0,No
CUST100108,40,64511.0,686.0,4.8,7530.0,2,1,6.0,Annual,Card,10.9,Yes
CUST100109,51,30617.0,678.0,2.9,8149.0,0,1,6.8,Annual,Card,44.4,No
CUST100110,31,70033.0,672.0,5.4,11165.0,3,1,7.6,Monthly,Bank Transfer,50.1,Yes
CUST100111,55,86284.0,676.0,12.7,4525.0,2,1,5.6,Annual,Card,30.5,Yes
CUST100112,44,71445.0,737.0,4.1,9215.0,2,0,6.1,Annual,UPI,31.5,No
CUST100113,40,30044.0,703.0,3.1,10948.0,0,0,7.8,Annual,UPI,41.4,Yes
CUST100114,42,62276.0,703.0,7.7,2262.0,0,0,6.1,Two-Year,Card,32.0,Yes
CUST100115,45,81325.0,628.0,5.3,10897.0,1,2,8.7,Annual,Card,57.9,No
CUST100116,19,23684.0,637.0,9.1,2641.0,2,1,5.3,Annual,UPI,12.3,Yes
CUST100117,24,41355.0,808.0,5.0,8088.0,0,3,5.3,Annual,Auto Debit,44.9,Yes
CUST100118,29,84284.0,680.0,3.7,4428.0,1,0,10.0,Monthly,Card,30.3,Yes
CUST100119,23,70942.0,647.0,0.0,13509.0,1,1,4.4,Monthly,Bank Transfer,15.2,Yes
CUST100120,39,74063.0,769.0,0.0,4450.0,1,3,7.0,Two-Year,UPI,65.7,Yes
CUST100121,50,105909.0,705.0,0.0,2724.0,0,2,10.0,Annual,Card,67.8,No
CUST100122,49,75308.0,722.0,5.7,8967.0,1,1,7.0,Monthly,Card,28.9,No
CUST100123,40,79474.0,682.0,0.1,7052.0,1,2,9.3,Monthly,Bank Transfer,38.7,No
CUST100124,59,124636.0,672.0,8.5,3234.0,2,0,8.1,Monthly,Auto Debit,24.9,No
CUST100125,45,60296.0,681.0,4.6,10340.0,1,0,7.0,Monthly,Card,27.3,Yes
CUST100126,21,47447.0,614.0,3.7,1530.0,1,2,6.8,Monthly,Card,15.0,Yes
CUST100127,54,74412.0,685.0,1.8,4873.0,1,3,3.4,Annual,Auto Debit,12.8,Yes
CUST100128,45,74658.0,706.0,6.5,6487.0,3,2,6.5,Monthly,Card,59.7,Yes
CUST100129,48,53412.0,792.0,1.9,11308.0,3,3,7.4,Annual,Card,31.4,No
CUST100130,45,42287.0,695.0,1.3,13034.0,0,1,7.4,Two-Year,UPI,32.8,Yes
CUST100131,44,115817.0,562.0,8.3,12360.0,1,0,10.0,Two-Year,Bank Transfer,19.8,No
CUST100132,22,72191.0,685.0,5.6,7964.0,2,0,7.5,Two-Year,UPI,34.8,No
CUST100133,44,48890.0,841.0,3.7,1000.0,3,2,8.1,Monthly,UPI,9.4,Yes
CUST100134,56,85150.0,738.0,6.6,9868.0,0,0,9.0,Annual,Card,20.4,No
CUST100135,32,62599.0,645.0,4.5,13647.0,5,1,7.9,Annual,Card,14.0,Yes
CUST100136,46,59437.0,723.0,5.7,12818.0,2,0,6.9,Monthly,UPI,51.4,Yes
CUST100137,19,77370.0,649.0,1.9,10120.0,0,0,6.9,Two-Year,Bank Transfer,7.2,Yes
CUST100138,34,36579.0,616.0,11.1,4337.0,2,1,6.4,Annual,Auto Debit,14.3,No
CUST100139,38,72758.0,671.0,2.6,6661.0,3,1,7.8,Annual,UPI,2.0,No
CUST100140,65,107085.0,695.0,9.5,15268.0,1,0,6.7,Monthly,Card,18.6,Yes
CUST100141,28,75256.0,587.0,3.9,3541.0,1,2,8.1,Monthly,Bank Transfer,25.1,No
CUST100142,31,56723.0,627.0,7.1,4483.0,0,3,5.3,Two-Year,Card,46.7,Yes
CUST100143,37,53844.0,691.0,6.8,11799.0,0,0,7.2,Monthly,Bank Transfer,28.7,No
CUST100144,65,55973.0,668.0,8.2,6991.0,2,0,9.6,Monthly,Card,25.8,No
CUST100145,58,59413.0,712.0,1.8,4364.0,4,2,6.6,Annual,UPI,36.5,No
CUST100146,19,56688.0,623.0,7.9,13848.0,4,0,10.0,Annual,Auto Debit,25.4,No
CUST100147,29,85159.0,729.0,10.4,10114.0,2,0,7.3,Monthly,Auto Debit,68.1,No
CUST100148,57,26869.0,625.0,3.7,7164.0,0,2,6.9,Monthly,Card,23.1,Yes
CUST100149,20,83964.0,780.0,4.6,4490.0,0,1,7.2,Annual,UPI,38.2,No
CUST100150,59,56647.0,596.0,2.8,15666.0,0,2,6.5,Two-Year,UPI,44.4,No
CUST100151,31,73293.0,630.0,3.4,8414.0,1,3,3.6,Monthly,Auto Debit,22.7,Yes
CUST100152,62,40206.0,713.0,10.0,13391.0,1,0,8.5,Annual,Auto Debit,34.5,No
CUST100153,32,94230.0,782.0,1.3,11628.0,1,1,10.0,Monthly,Card,24.5,No
CUST100154,38,92404.0,707.0,1.5,6677.0,2,0,7.8,Annual,Auto Debit,36.1,No
CUST100155,49,86111.0,721.0,9.7,6705.0,5,1,7.9,Annual,UPI,33.5,Yes
CUST100156,24,31675.0,691.0,6.5,13562.0,2,1,6.7,Two-Year,Card,29.9,No
CUST100157,44,83241.0,634.0,11.3,13619.0,0,0,9.0,Annual,UPI,14.7,No
CUST100158,42,73907.0,663.0,3.1,1931.0,0,1,6.9,Monthly,Bank Transfer,60.0,No
CUST100159,55,29684.0,623.0,4.9,10424.0,2,2,7.5,Monthly,Bank Transfer,40.8,Yes
CUST100160,65,64465.0,620.0,2.4,8076.0,1,2,4.3,Two-Year,Auto Debit,8.2,Yes
CUST100161,49,73020.0,712.0,5.0,4883.0,1,1,6.1,Monthly,Auto Debit,25.7,Yes
CUST100162,37,77234.0,628.0,0.0,9416.0,0,0,7.6,Annual,Bank Transfer,8.5,Yes
CUST100163,37,68900.0,708.0,6.7,3776.0,3,1,8.5,Monthly,Bank Transfer,43.4,Yes
CUST100164,38,71407.0,618.0,5.5,6867.0,2,2,8.6,Monthly,Bank Transfer,31.7,No
CUST100165,57,97419.0,706.0,4.3,5705.0,1,1,,Annual,Card,32.1,Yes
CUST100166,33,91973.0,663.0,3.3,6751.0,1,0,4.5,Annual,Bank Transfer,19.4,No
CUST100167,26,18000.0,767.0,1.6,8250.0,1,0,8.0,Two-Year,UPI,27.3,Yes
CUST100168,34,58016.0,708.0,6.8,4946.0,2,0,5.7,Monthly,UPI,43.8,No
CUST100169,19,61378.0,758.0,0.8,14006.0,0,0,8.5,Monthly,Auto Debit,47.8,No
CUST100170,23,26454.0,648.0,6.1,10226.0,1,3,4.2,Monthly,Card,44.7,Yes
CUST100171,22,67072.0,693.0,11.1,14781.0,2,1,6.8,Monthly,Auto Debit,8.7,No
CUST100172,55,92473.0,636.0,9.3,7940.0,1,2,6.9,Annual,UPI,29.2,No
CUST100173,52,41096.0,667.0,0.0,6579.0,1,2,7.8,Monthly,Card,35.8,Yes
CUST100174,51,,676.0,2.8,14654.0,3,2,5.2,Monthly,Card,21.0,Yes
CUST100175,40,44852.0,650.0,5.8,6477.0,4,0,3.7,Two-Year,Auto Debit,7.1,Yes
CUST100176,52,50218.0,623.0,4.3,7876.0,5,1,7.3,Monthly,Card,12.7,Yes
CUST100177,25,97503.0,612.0,0.0,11020.0,4,0,7.9,Monthly,Bank Transfer,54.5,Yes
CUST100178,61,53064.0,561.0,5.7,4168.0,1,1,8.7,Two-Year,UPI,14.1,Yes
CUST100179,42,75169.0,632.0,4.5,10990.0,4,4,6.4,Annual,Bank Transfer,32.7,Yes
CUST100180,63,23833.0,725.0,10.6,10542.0,0,1,8.3,Monthly,Card,29.7,Yes
CUST100181,25,105971.0,602.0,3.7,12943.0,5,0,7.8,Two-Year,Bank Transfer,29.7,No
CUST100182,41,78258.0,615.0,8.2,11615.0,2,1,9.2,Annual,Bank Transfer,27.2,No
CUST100183,51,60985.0,788.0,0.4,13050.0,1,0,6.9,Monthly,UPI,43.8,No
CUST100184,41,77662.0,655.0,1.2,8114.0,0,2,4.1,Monthly,UPI,32.5,Yes
CUST100185,39,33984.0,708.0,6.8,5481.0,1,0,6.9,Two-Year,UPI,22.6,Yes
CUST100186,25,91016.0,725.0,8.0,15885.0,2,0,7.2,Monthly,UPI,32.8,No
CUST100187,36,57872.0,726.0,1.4,3157.0,2,0,7.9,Two-Year,Bank Transfer,12.8,Yes
CUST100188,29,60510.0,606.0,4.6,3507.0,4,0,4.4,Monthly,Card,39.1,Yes
CUST100189,32,54184.0,677.0,0.1,10478.0,1,1,6.5,Monthly,Auto Debit,21.8,Yes
CUST100190,50,52226.0,601.0,3.9,14187.0,1,0,8.5,Two-Year,UPI,22.6,No
CUST100191,48,80283.0,825.0,7.2,9163.0,1,0,6.8,Two-Year,Bank Transfer,39.7,No
CUST100192,47,70630.0,602.0,3.1,11998.0,1,1,6.5,Monthly,Bank Transfer,25.9,Yes
CUST100193,35,79338.0,632.0,3.7,1515.0,1,0,10.0,Monthly,UPI,26.7,No
CUST100194,64,64807.0,633.0,0.9,6752.0,1,0,5.2,Annual,Bank Transfer,49.5,No
CUST100195,22,76290.0,608.0,2.4,1941.0,1,1,9.1,Annual,UPI,17.4,No
CUST100196,34,55785.0,764.0,10.1,11231.0,2,0,8.7,Monthly,Auto Debit,39.5,No
CUST100197,23,114054.0,823.0,4.7,3085.0,1,2,6.6,Monthly,Card,46.2,No
CUST100198,34,30506.0,664.0,1.3,4028.0,1,2,6.9,Two-Year,Auto Debit,49.5,Yes
CUST100199,64,92741.0,617.0,3.5,10299.0,2,0,6.9,Monthly,Bank Transfer,64.6,No
CUST100200,35,95094.0,567.0,0.0,12216.0,1,0,7.3,Monthly,Card,22.4,Yes
CUST100201,61,46253.0,677.0,1.3,7944.0,0,0,6.0,Monthly,UPI,19.0,Yes
CUST100202,41,114044.0,673.0,8.9,10496.0,1,0,6.3,Monthly,UPI,44.3,Yes
CUST100203,51,86901.0,654.0,4.0,10382.0,0,0,6.4,Annual,UPI,46.1,No
CUST100204,39,86365.0,702.0,10.6,7746.0,3,2,6.5,Monthly,Card,20.1,No
CUST100205,30,65616.0,712.0,4.2,4669.0,2,1,6.5,Annual,Bank Transfer,39.3,No
CUST100206,54,60221.0,708.0,4.4,10477.0,1,1,3.2,Monthly,Card,72.9,Yes
CUST100207,64,60393.0,673.0,6.6,10646.0,2,0,7.2,Monthly,UPI,33.6,Yes
CUST100208,30,73592.0,629.0,0.0,11629.0,1,0,6.1,Two-Year,UPI,45.9,No
CUST100209,55,95826.0,727.0,5.2,9592.0,0,2,3.8,Annual,Card,55.7,Yes
CUST100210,30,68989.0,691.0,4.3,4410.0,1,0,6.4,Monthly,UPI,69.6,No
CUST100211,52,44948.0,739.0,9.3,10916.0,1,0,6.4,Monthly,Bank Transfer,35.7,Yes
CUST100212,55,83137.0,733.0,7.6,8495.0,4,0,9.2,Annual,Card,50.8,No
CUST100213,39,85265.0,612.0,0.9,6810.0,1,1,6.1,Annual,UPI,20.2,Yes
CUST100214,53,79403.0,611.0,8.5,7469.0,1,0,8.1,Annual,Card,32.4,No
CUST100215,31,81401.0,648.0,3.7,6084.0,3,2,9.4,Annual,Card,25.3,Yes
CUST100216,21,59040.0,632.0,1.6,11611.0,1,1,5.9,Monthly,UPI,3.7,Yes
CUST100217,22,44562.0,732.0,5.1,3537.0,1,1,6.9,Two-Year,UPI,8.0,No
CUST100218,39,45900.0,709.0,3.9,5023.0,3,1,9.9,Monthly,Auto Debit,38.5,No
CUST100219,61,29020.0,750.0,9.4,7349.0,1,4,7.4,Monthly,Card,38.7,Yes
CUST100220,24,70213.0,712.0,5.6,14148.0,0,0,7.6,Annual,Bank Transfer,16.4,No
CUST100221,39,63164.0,701.0,5.2,12190.0,2,0,6.3,Monthly,Auto Debit,55.4,Yes
CUST100222,51,55320.0,756.0,7.4,2757.0,2,0,8.2,Monthly,UPI,15.4,No
CUST100223,27,18000.0,716.0,8.0,13230.0,2,1,6.9,Monthly,Bank Transfer,35.9,Yes
CUST100224,52,37559.0,694.0,7.0,13223.0,0,3,3.9,Annual,Auto Debit,25.8,Yes
CUST100225,32,89658.0,771.0,9.0,4391.0,2,3,6.4,Annual,UPI,33.6,Yes
CUST100226,56,50378.0,696.0,6.4,1000.0,0,0,5.0,Annual,Card,45.5,No
CUST100227,45,72933.0,673.0,5.0,8247.0,2,0,7.2,Monthly,UPI,43.4,Yes
CUST100228,44,34405.0,644.0,8.5,12428.0,2,3,5.4,Monthly,UPI,42.6,Yes
CUST100229,26,96652.0,729.0,4.2,14069.0,0,4,7.8,Two-Year,Card,40.7,Yes
CUST100230,40,61831.0,758.0,4.6,5452.0,0,0,7.1,Annual,UPI,12.9,No
CUST100231,59,71381.0,687.0,10.0,14632.0,3,0,4.9,Annual,Auto Debit,49.0,Yes
CUST100232,18,116167.0,762.0,9.7,1000.0,2,0,6.2,Monthly,UPI,16.1,No
CUST100233,54,98362.0,582.0,4.5,7212.0,0,2,8.1,Monthly,Bank Transfer,30.4,Yes
CUST100234,41,58256.0,687.0,3.0,7040.0,3,0,9.0,Monthly,UPI,26.7,No
CUST100235,52,51949.0,688.0,9.2,12533.0,1,1,5.5,Annual,Bank Transfer,37.3,Yes
CUST100236,49,57838.0,650.0,7.1,13044.0,1,1,5.1,Two-Year,Bank Transfer,24.7,Yes
CUST100237,38,76218.0,821.0,5.5,11840.0,2,0,10.0,Two-Year,UPI,29.6,No
CUST100238,32,62685.0,686.0,3.5,3773.0,1,1,7.0,Monthly,Card,56.3,Yes
CUST100239,48,56305.0,668.0,5.6,11519.0,4,2,7.2,Monthly,Auto Debit,12.6,Yes
CUST100240,24,97278.0,691.0,4.4,10282.0,3,0,5.7,Annual,Bank Transfer,32.0,No
CUST100241,46,62487.0,580.0,2.4,2651.0,4,0,7.4,Monthly,Auto Debit,15.3,Yes
CUST100242,22,115591.0,648.0,4.9,1265.0,0,0,9.9,Annual,Card,42.1,No
CUST100243,49,66996.0,744.0,5.3,12133.0,2,0,7.4,Annual,UPI,21.1,Yes
CUST100244,48,104277.0,655.0,3.3,7870.0,1,0,8.8,Monthly,Card,32.6,No
CUST100245,22,72861.0,644.0,7.4,4002.0,1,0,7.0,Monthly,Card,12.1,No
CUST100246,54,86185.0,762.0,8.6,7771.0,1,1,5.3,Monthly,Auto Debit,51.4,No
CUST100247,37,49059.0,764.0,7.6,9774.0,2,1,5.8,Annual,Card,33.1,No
CUST100248,55,46217.0,718.0,3.6,8210.0,1,0,5.1,Monthly,Bank Transfer,34.1,Yes
CUST100249,19,75114.0,665.0,6.9,3068.0,3,0,7.4,Monthly,Bank Transfer,44.4,No
CUST100250,26,86748.0,677.0,4.7,15099.0,0,0,9.1,Monthly,Card,13.2,No
CUST100251,41,65886.0,646.0,0.5,12015.0,1,0,7.3,Two-Year,Card,22.8,Yes
CUST100252,27,36699.0,635.0,6.7,7326.0,1,2,6.5,Two-Year,Auto Debit,34.6,Yes
CUST100253,33,35074.0,633.0,5.0,7467.0,1,0,5.7,Two-Year,UPI,5.6,No
CUST100254,49,33603.0,656.0,12.8,9758.0,1,0,7.6,Two-Year,Card,7.2,No
CUST100255,24,26112.0,633.0,9.2,4546.0,2,1,4.9,Monthly,Bank Transfer,19.7,Yes
CUST100256,50,67409.0,604.0,6.8,9629.0,1,0,5.1,Monthly,UPI,14.9,Yes
CUST100257,22,89751.0,702.0,5.3,3842.0,1,3,8.5,Annual,Bank Transfer,26.8,No
CUST100258,26,64705.0,703.0,5.0,8253.0,4,0,6.5,Annual,Auto Debit,39.8,No
CUST100259,46,18000.0,784.0,1.3,4410.0,0,0,6.5,Annual,Card,43.2,No
CUST100260,56,60803.0,653.0,0.0,4587.0,2,2,6.7,Monthly,Bank Transfer,59.1,Yes
CUST100261,26,61418.0,706.0,1.7,14260.0,3,1,8.2,Two-Year,Card,31.7,Yes
CUST100262,32,111112.0,707.0,4.3,8707.0,4,1,7.3,Monthly,Bank Transfer,34.3,Yes
CUST100263,62,32943.0,676.0,0.0,9226.0,2,0,5.7,Annual,UPI,31.6,Yes
CUST100264,65,56405.0,731.0,2.8,1460.0,1,0,5.8,Two-Year,Bank Transfer,36.8,No
CUST100265,45,102529.0,733.0,3.7,6410.0,2,1,6.7,Annual,Card,38.0,Yes
CUST100266,39,74900.0,708.0,3.8,10114.0,1,0,7.5,Annual,UPI,45.8,No
CUST100267,34,77393.0,676.0,2.4,9179.0,4,2,6.9,Annual,Auto Debit,45.8,No
CUST100268,47,67521.0,670.0,3.4,1000.0,2,2,6.8,Annual,UPI,39.8,No
CUST100269,46,72259.0,615.0,10.0,9225.0,1,0,7.1,Two-Year,Bank Transfer,54.7,No
CUST100270,32,82107.0,646.0,6.6,9783.0,1,0,6.9,Monthly,Auto Debit,32.4,No
