customerID,SeniorCitizen,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3431-LZGXM,0,61,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-month,Bank transfer,19.5,1243.9,No
9392-WVFUJ,0,32,Yes,,No,Yes,No,Yes,Yes,Yes,Month-to-month,Credit card,102.37,3361.66,No
9190-ZPXNA,0,36,Yes,Yes,No,Yes,No,No,Yes,No,Two year,Electronic check,105.37,3805.76,No
8864-NBBSY,1,27,Yes,No,No,No,Yes,No,Yes,Yes,One year,Bank transfer,55.97,1589.7,No
7275-LHKIH,1,13,Yes,Yes,Yes,No,No,Yes,No,No,Month-to-month,Mailed check,33.67,477.33,Yes
2155-OFDHU,0,67,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Credit card,79.29,5319.63,No
6156-MPOMV,0,57,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,30.21,1739.49,No
7572-EVECK,0,47,Yes,Yes,No,No,No,No,Yes,No,One year,Electronic check,55.22,2504.27,No
4534-USBMU,0,29,Yes,No,Yes,No,Yes,Yes,No,No,Month-to-month,Electronic check,115.76,3371.65,No
7597-NQOGO,0,60,Yes,No,Yes,No,Yes,Yes,No,No,Month-to-month,Mailed check,119.54,7095.21,No
7075-BSGAT,0,39,Yes,No,No,Yes,No,No,Yes,No,Two year,Mailed check,96.75,3691.99,No
4508-KQOQY,1,32,Yes,,No,No,No,Yes,Yes,Yes,Month-to-month,Credit card,49.72,1600.68,Yes
6859-BFLMJ,0,32,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Mailed check,88.14,2764.78,No
2659-CDYKY,0,16,Yes,No,Yes,Yes,No,No,Yes,Yes,One year,Electronic check,89.95,1438.84,No
4013-IMYOA,1,6,Yes,No,No,No,No,No,Yes,Yes,Two year,Bank transfer,57.56,352.28,No
3443-ZEVYF,0,40,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-month,Electronic check,83.37,3343.95,No
6029-PUUBI,1,64,Yes,No,No,No,No,No,Yes,No,Two year,Mailed check,19.09,1176.55,Yes
9459-JGQFD,1,4,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Bank transfer,39.32,202.21,Yes
8180-DXGCT,0,62,Yes,No,Yes,No,Yes,Yes,No,Yes,Two year,Mailed check,71.56,4432.26,No
2588-JJNMF,0,60,Yes,Yes,No,No,No,No,No,No,Month-to-month,Bank transfer,34.7,2104.05,No
3111-FBQMC,0,20,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,Mailed check,34.92,638.58,No
3981-RHKTR,1,46,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card,103.3,4742.88,No
7305-JMVWB,1,12,Yes,No,No,Yes,No,No,No,Yes,Two year,Mailed check,118.89,1481.54,No
8541-XYGNB,0,55,Yes,No,No,Yes,No,Yes,Yes,Yes,Two year,Credit card,74.71,4157.56,No
1987-OFFHL,0,51,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,Bank transfer,103.59,5243.23,Yes
2376-URUYP,0,25,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Bank transfer,119.01,2947.97,Yes
4254-ZOMKB,0,4,Yes,No,Yes,Yes,No,Yes,No,Yes,One year,Electronic check,32.44,80.33,No
9602-VSFYE,0,70,Yes,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,Electronic check,63.72,4427.58,No
3174-BHIUI,1,32,Yes,No,No,No,No,Yes,No,No,One year,Bank transfer,58.04,1787.33,No
9600-HNPVT,0,65,Yes,Yes,No,Yes,No,No,Yes,No,One year,Mailed check,26.17,1694.14,No
8807-YDCLD,0,49,Yes,Yes,Yes,No,No,No,Yes,No,Month-to-month,Mailed check,95.04,4688.62,Yes
5441-PHCZJ,0,56,Yes,Yes,No,Yes,No,Yes,Yes,No,Month-to-month,Credit card,62.25,3446.75,No
8550-QRUGF,0,55,Yes,No,No,Yes,Yes,No,No,No,Two year,Mailed check,65.87,3618.32,No
9970-RHQKW,0,14,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Mailed check,33.37,456.16,No
5573-IRTJT,1,26,Yes,No,Yes,Yes,Yes,No,Yes,No,One year,Bank transfer,36.45,1000.46,No
3107-GVQAR,0,34,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-month,Credit card,110.52,3727.1,Yes
3752-HLLXL,0,36,Yes,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,Credit card,22.55,783.04,No
3669-UOAQN,0,3,Yes,No,No,No,No,No,No,Yes,Month-to-month,Bank transfer,41.75,82.95,Yes
6170-EMQRR,0,39,No,Yes,No,No,Yes,No,Yes,No,Month-to-month,Electronic check,47.79,1806.93,No
9977-NLOII,0,11,Yes,Yes,No,No,Yes,Yes,Yes,No,One year,Electronic check,68.0,774.46,No
7211-ITTYD,1,54,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Bank transfer,77.82,4195.52,No
4269-ULRTW,0,49,Yes,Yes,No,No,Yes,Yes,No,No,One year,Bank transfer,68.32,3350.42,No
3034-GMNXB,0,67,No,No,No,No,No,No,No,Yes,One year,Electronic check,26.58,1844.59,No
3207-XPRGQ,0,54,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Bank transfer,42.85,2380.5,No
4328-TCHQP,0,26,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Credit card,104.05,2622.99,Yes
8562-UACJY,0,70,No,No,Yes,No,Yes,No,Yes,Yes,One year,Electronic check,83.03,5844.49,Yes
5294-XBZBV,0,29,Yes,No,No,Yes,No,No,Yes,Yes,One year,Credit card,84.21,2453.37,No
8891-HHPSD,0,23,Yes,Yes,No,No,Yes,No,No,Yes,One year,Mailed check,86.36,1963.2,Yes
3132-TUDXW,1,66,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Mailed check,95.82,6340.5,No
8810-GREFB,0,27,Yes,Yes,No,Yes,Yes,No,No,No,Two year,Bank transfer,23.93,559.79,No
5437-SFEHF,0,5,Yes,No,No,No,Yes,No,No,No,Month-to-month,Electronic check,55.39,350.08,Yes
8495-EHHFY,0,34,Yes,No,Yes,No,No,No,No,No,One year,Electronic check,73.03,2508.77,No
2886-MOGME,1,58,Yes,Yes,No,Yes,Yes,No,No,No,Month-to-month,Credit card,52.52,3002.9,No
5344-ALJJC,0,13,Yes,No,Yes,No,Yes,No,No,No,One year,Mailed check,104.14,1324.55,No
9987-ADCZI,1,33,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Electronic check,67.22,2133.1,No
4878-TBBER,0,9,Yes,No,No,Yes,No,No,Yes,Yes,One year,Bank transfer,96.4,851.9,No
9805-QWWHE,1,50,Yes,No,Yes,No,Yes,No,Yes,No,Month-to-month,Electronic check,104.91,5221.36,No
2441-URWNZ,0,34,Yes,No,No,Yes,Yes,No,No,No,One year,Credit card,69.49,2296.4,No
9045-VUDTY,0,24,Yes,No,No,No,No,No,No,Yes,Month-to-month,Electronic check,110.77,2697.32,No
3629-VJFSE,0,16,Yes,No,Yes,Yes,No,No,Yes,Yes,One year,Bank transfer,77.89,1310.08,No
5330-YEEYU,0,41,No,Yes,No,No,No,No,Yes,No,Month-to-month,Mailed check,104.73,4292.56,No
5154-KZSXC,0,48,Yes,,Yes,Yes,No,No,Yes,Yes,Month-to-month,Credit card,52.74,2516.24,No
5773-SANBX,0,68,Yes,Yes,No,No,No,No,Yes,No,One year,Bank transfer,68.88,4705.59,No
7127-ENCUF,0,31,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Credit card,72.2,2237.22,No
6464-CEZKD,0,11,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-month,Electronic check,28.71,261.7,No
7298-FPVRG,0,60,Yes,Yes,No,No,No,Yes,No,Yes,Two year,Mailed check,58.65,3486.37,No
3132-FQRNK,0,45,Yes,Yes,No,No,No,No,No,No,Two year,Credit card,111.57,5005.83,No
1558-VRQCH,1,51,No,No,No,No,No,Yes,Yes,Yes,Two year,Electronic check,82.34,4211.75,No
3733-PUWNJ,0,7,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Credit card,36.11,253.24,No
4672-TIKUO,0,22,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-month,Credit card,52.56,1166.84,No
5208-THBUL,1,56,Yes,No,No,No,No,No,No,No,One year,Bank transfer,37.54,2026.0,No
3928-CYSHP,0,60,Yes,Yes,Yes,No,No,No,Yes,No,Month-to-month,Electronic check,20.53,1265.06,No
5178-IIBZY,0,31,Yes,No,No,Yes,No,Yes,Yes,No,One year,Credit card,112.6,3490.77,No
8833-IZHVC,0,58,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Credit card,63.72,3823.4,No
3793-PZGLV,0,61,No,No,No,No,No,No,No,No,Two year,Mailed check,49.37,2992.19,No
5250-RKAHO,0,28,Yes,Yes,Yes,Yes,Yes,No,No,No,One year,Bank transfer,79.04,2229.29,No
1175-GYAGQ,0,65,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,Electronic check,18.75,1360.21,No
6067-FBXOO,0,21,Yes,No,No,No,No,Yes,No,No,Month-to-month,Mailed check,46.36,983.26,No
1519-FBZUO,0,17,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-month,Electronic check,89.71,1521.69,No
7127-EZNNY,0,49,Yes,Yes,No,Yes,No,Yes,No,No,Month-to-month,Bank transfer,82.64,4000.01,No
1863-LCLGL,0,46,Yes,No,No,Yes,No,Yes,Yes,Yes,One year,Bank transfer,118.14,5510.85,No
7317-HBESP,0,10,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Bank transfer,81.28,754.84,Yes
9806-XETCC,1,60,No,Yes,Yes,No,No,Yes,No,No,Month-to-month,Bank transfer,66.71,4023.96,No
8137-KZANI,0,14,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Credit card,95.67,1315.7,Yes
9867-RUHXV,0,58,Yes,No,No,No,No,Yes,No,Yes,One year,Electronic check,110.14,6378.65,No
8055-MXRBW,0,0,Yes,No,Yes,No,No,Yes,No,No,Month-to-month,Electronic check,91.51, ,Yes
1188-RGXSV,1,58,Yes,Yes,No,No,No,No,No,No,Month-to-month,Electronic check,116.25,6809.66,No
7297-OWHNH,0,57,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Two year,Credit card,97.76,5558.43,No
2022-WMBVY,0,56,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,Electronic check,106.41,5898.21,No
6954-IWTHI,0,48,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,Electronic check,29.64,1485.35,No
9889-YRAFJ,0,34,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Electronic check,92.71,3126.93,No
5822-WWHCH,0,51,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,Credit card,62.89,3224.12,No
3117-XAVRC,0,20,Yes,No,No,No,Yes,No,No,Yes,Two year,Bank transfer,74.42,1530.47,No
7164-PAFJF,0,56,Yes,No,Yes,Yes,No,Yes,No,No,One year,Credit card,84.72,4768.02,No
6208-QEDRM,0,40,Yes,No,No,No,Yes,No,No,No,One year,Electronic check,116.92,4566.97,Yes
3385-GBWVO,0,33,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Mailed check,118.43,3942.96,No
4144-FHYCV,0,36,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Bank transfer,47.4,1701.37,No
3740-GVYZG,0,41,Yes,No,No,Yes,Yes,Yes,No,No,Month-to-month,Electronic check,92.84,3789.99,No
6319-HFKBE,0,2,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Credit card,94.5,183.55,Yes
6359-RHOTX,0,10,Yes,No,Yes,No,No,No,No,No,Month-to-month,Credit card,53.34,452.9,No
6115-GSEDJ,0,17,No,,Yes,No,No,Yes,No,Yes,One year,Electronic check,30.63,530.32,No
3959-DBYRS,0,8,Yes,No,No,No,Yes,Yes,No,No,One year,Credit card,22.18,109.22,No
1596-UJTMG,1,32,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Mailed check,97.29,3098.99,No
3359-DVLUV,0,48,Yes,No,Yes,No,Yes,Yes,No,No,One year,Mailed check,67.95,3269.41,No
2502-IDAZR,0,47,Yes,Yes,No,No,No,Yes,Yes,Yes,Two year,Credit card,118.53,5624.61,No
5064-FPOFA,0,34,Yes,No,No,No,No,No,Yes,No,One year,Bank transfer,65.43,2183.64,No
5220-NUKCW,1,62,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One year,Electronic check,117.75,7373.08,No
4722-SBAAU,0,41,Yes,No,No,No,No,No,Yes,Yes,One year,Credit card,59.98,2506.52,No
3166-UYRZY,0,5,Yes,No,No,No,No,No,No,Yes,Month-to-month,Bank transfer,98.96,473.33,Yes
7503-UPFCJ,0,55,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Electronic check,26.65,1410.31,Yes
5275-JCNMY,0,41,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer,74.66,2988.87,No
9587-QWIZY,0,46,Yes,Yes,Yes,Yes,Yes,No,No,No,One year,Bank transfer,99.81,4604.85,No
2127-SLGKX,0,41,Yes,Yes,Yes,Yes,No,No,No,No,One year,Mailed check,112.32,4568.26,No
9317-IMNTM,0,40,Yes,No,No,No,Yes,Yes,No,No,Two year,Mailed check,101.9,4135.97,No
4562-YJGII,0,6,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Credit card,21.77,96.64,No
5995-RDXGC,1,40,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,Electronic check,56.02,2195.77,Yes
7014-FTYSU,0,58,No,No,No,No,Yes,No,Yes,Yes,One year,Bank transfer,22.97,1343.94,No
5452-IPJWM,1,22,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Credit card,29.15,607.0,No
5490-REOTU,1,44,Yes,No,No,Yes,Yes,Yes,No,Yes,One year,Credit card,86.88,3823.15,No
3024-BFVGB,1,2,No,Yes,Yes,No,No,No,No,Yes,Two year,Mailed check,90.75,230.8,No
6374-WFBDD,0,25,Yes,No,No,Yes,Yes,No,No,No,One year,Mailed check,96.92,2428.86,Yes
2840-EQFOK,0,31,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Credit card,106.28,3300.73,No
6888-RPXFN,0,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Mailed check,93.42,6643.08,No
4548-NDIYU,0,15,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Bank transfer,99.69,1410.7,No
4834-CQHIC,0,20,Yes,No,No,No,No,Yes,Yes,Yes,Two year,Bank transfer,22.99,479.39,No
3601-FAPZD,0,29,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Bank transfer,41.92,1223.68,No
1471-COVID,0,72,Yes,Yes,Yes,Yes,No,No,No,Yes,Two year,Bank transfer,81.43,5907.6,No
1863-PJJGX,0,62,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Mailed check,105.53,6573.15,Yes
4373-STBGX,0,2,Yes,No,No,No,No,Yes,Yes,No,Month-to-month,Mailed check,18.46,26.82,No
8944-KEHYR,0,17,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Mailed check,70.49,1249.95,Yes
1678-SDHMJ,0,59,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Bank transfer,87.08,5123.09,No
7283-EWPHY,0,4,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Credit card,21.02,96.44,No
5305-KAZWE,0,62,Yes,No,Yes,No,No,No,No,Yes,Two year,Bank transfer,58.94,3638.72,No
9528-UKYOR,0,20,Yes,No,Yes,No,No,No,Yes,No,Two year,Bank transfer,109.35,2210.09,No
2648-CNIZC,0,66,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Mailed check,86.5,5690.18,No
7864-PWZWJ,0,21,Yes,No,Yes,Yes,Yes,No,Yes,Yes,One year,Credit card,42.24,969.42,Yes
7259-EMGGO,0,31,No,No,Yes,No,Yes,No,Yes,Yes,Two year,Mailed check,104.98,3355.25,No
2142-OKFOT,0,48,Yes,No,Yes,No,Yes,No,No,Yes,Two year,Mailed check,53.5,2611.7,No
6489-COQRL,1,9,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-month,Electronic check,105.04,1022.42,Yes
1853-DIQTR,1,40,Yes,No,No,Yes,No,No,No,No,Month-to-month,Mailed check,48.49,1862.64,No
3809-LBUJN,0,36,Yes,Yes,No,No,Yes,No,Yes,No,Two year,Bank transfer,78.21,2744.49,No
5046-HEYDY,0,57,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,Electronic check,58.49,3317.85,No
2018-CXYXU,0,72,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,46.03,3316.22,No
5433-CPNTA,0,48,Yes,Yes,No,No,Yes,No,No,Yes,One year,Credit card,108.43,5194.73,No
1695-PWYOJ,0,29,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,Credit card,37.13,994.66,Yes
5247-NQFKO,1,29,Yes,Yes,No,Yes,Yes,No,No,No,Two year,Mailed check,26.65,830.43,No
8656-UTFKO,0,30,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Mailed check,52.88,1694.11,No
9708-JXTQS,0,59,Yes,No,No,No,No,No,No,No,One year,Bank transfer,91.2,5444.85,No
8136-SRJLP,0,23,Yes,No,Yes,No,Yes,No,No,No,Two year,Credit card,100.36,2362.56,No
8591-QZRKO,1,12,Yes,Yes,Yes,Yes,No,No,Yes,No,Two year,Mailed check,119.87,1449.75,Yes
6609-WGGFB,0,24,Yes,No,No,No,No,Yes,No,No,Two year,Electronic check,48.23,1115.37,No
7074-ZPBJX,0,1,Yes,No,No,Yes,No,No,No,No,Two year,Mailed check,59.61,63.24,Yes
1466-PLXNO,0,7,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Mailed check,31.96,329.0,No
7499-VNSUN,0,6,Yes,No,No,Yes,No,Yes,Yes,Yes,Two year,Bank transfer,76.64,442.24,No
7444-JJARG,0,56,Yes,Yes,Yes,Yes,Yes,No,No,No,Two year,Electronic check,119.75,6683.25,No
8324-YWHQT,1,52,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Bank transfer,89.49,4708.85,No
5554-NLIOZ,0,50,Yes,No,No,No,No,No,No,Yes,Month-to-month,Electronic check,78.71,3994.18,Yes
2970-BBPHL,0,33,No,No,No,Yes,No,Yes,No,No,Month-to-month,Credit card,58.02,1872.26,No
9554-BEFLS,0,52,Yes,No,Yes,Yes,Yes,No,Yes,No,One year,Bank transfer,111.36,5777.65,No
2649-CCUAQ,0,11,Yes,No,No,Yes,No,No,No,No,One year,Electronic check,68.69,730.49,Yes
6204-COHND,1,65,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,Credit card,31.71,2064.63,No
7009-UANQA,0,36,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,Bank transfer,55.27,2044.9,No
7515-OHMRQ,0,68,Yes,No,No,No,No,No,No,Yes,One year,Bank transfer,24.85,1649.6,No
7989-AUAQJ,0,11,Yes,No,Yes,Yes,Yes,No,No,No,Month-to-month,Electronic check,38.6,479.08,Yes
1573-RORJH,0,36,Yes,Yes,No,No,Yes,No,No,No,Two year,Electronic check,19.8,717.88,No
6621-FVRZA,1,50,Yes,No,No,No,No,No,No,No,Month-to-month,Credit card,64.23,3327.81,No
6269-OWLYG,0,36,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Mailed check,82.72,2993.86,No
8687-NYFGO,0,32,Yes,,Yes,Yes,Yes,No,No,Yes,Month-to-month,Bank transfer,53.02,1691.79,No
5965-DQKDN,1,12,Yes,Yes,Yes,Yes,Yes,No,No,No,Two year,Credit card,60.88,759.3,No
7279-AXPGT,0,27,Yes,No,No,No,Yes,No,No,Yes,Two year,Mailed check,115.84,3110.82,Yes
8591-YUFEF,0,17,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Mailed check,94.7,1520.14,Yes
8879-HIXFK,0,22,Yes,No,No,No,No,No,Yes,No,Month-to-month,Credit card,73.17,1597.71,Yes
3666-HPTGA,0,49,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Electronic check,47.02,2291.17,No
6753-ORLUQ,0,46,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Mailed check,109.49,4956.92,No
7817-TMIPQ,0,44,Yes,No,Yes,No,No,No,Yes,Yes,One year,Credit card,41.98,1843.47,No
6143-NIDLW,0,26,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Electronic check,51.18,1227.32,No
7449-TTXFS,0,70,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Mailed check,110.72,7733.02,No
1625-GALDK,0,6,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Mailed check,72.01,444.24,Yes
2211-AMKKI,0,25,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,93.72,2347.85,Yes
4683-AMWDD,0,8,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,Electronic check,78.26,605.53,Yes
8019-NGUIP,0,24,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Mailed check,84.65,2027.32,No
6003-ETQFT,0,70,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Credit card,48.54,3358.6,No
6584-WVIYA,0,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,42.62,1108.66,No
4006-PNFFU,0,66,No,No,Yes,No,Yes,No,No,No,Month-to-month,Bank transfer,50.89,3361.64,Yes
8883-RNUGZ,0,36,Yes,Yes,No,Yes,Yes,No,No,Yes,Two year,Mailed check,33.86,1173.95,No
2124-PIXGQ,0,51,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Credit card,107.18,5479.56,No
2406-EKUHS,0,33,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Mailed check,46.89,1560.44,Yes
6140-ZHGXI,0,19,No,No,Yes,Yes,No,No,No,Yes,Month-to-month,Credit card,75.27,1421.82,No
2931-VVBWQ,0,55,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One year,Mailed check,98.78,5553.95,No
3509-NGEDE,0,70,Yes,Yes,No,No,No,No,No,Yes,Two year,Credit card,97.95,6849.46,No
6244-VMALT,0,19,Yes,Yes,No,Yes,Yes,No,Yes,Yes,One year,Credit card,62.72,1177.72,No
8516-TJQBK,0,56,Yes,No,No,Yes,No,Yes,No,Yes,One year,Mailed check,66.58,3707.36,No
5830-AAUFD,0,19,Yes,No,No,No,No,Yes,Yes,No,Two year,Bank transfer,119.46,2221.19,Yes
6327-HZYVH,0,52,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-month,Electronic check,86.81,4548.41,Yes
8877-GGZRC,0,57,No,Yes,No,No,No,Yes,Yes,No,Two year,Mailed check,101.09,5727.82,No
8978-ERLAU,0,32,Yes,Yes,No,No,No,No,Yes,No,One year,Mailed check,110.06,3493.52,No
7179-WPTXZ,0,53,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,Credit card,98.33,5184.58,No
6045-AIQCD,0,19,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card,36.89,651.66,No
4553-XIYUH,1,5,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Credit card,75.34,289.15,Yes
3079-VTQZC,0,7,Yes,No,No,No,No,No,No,Yes,Month-to-month,Credit card,28.39,175.58,No
4471-PBZOI,0,32,Yes,Yes,No,No,Yes,No,No,No,Two year,Credit card,84.6,2750.87,No
3151-APZAK,0,65,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card,115.45,7514.1,No
6958-LQSZP,0,9,Yes,No,No,No,No,No,Yes,No,One year,Bank transfer,70.3,710.73,No
7387-HDCCV,0,33,Yes,No,No,No,Yes,No,No,No,Two year,Electronic check,62.16,2088.83,No
1365-MPRBW,0,51,Yes,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,Credit card,21.66,1130.86,No
4935-ADWYT,0,14,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-month,Electronic check,115.9,1716.73,No
3999-YHGTI,0,52,Yes,Yes,No,Yes,No,No,No,No,One year,Electronic check,28.51,1477.66,No
5679-REYEZ,0,22,Yes,No,No,Yes,No,No,Yes,No,Two year,Credit card,22.19,491.33,No
3496-KGOAE,0,59,Yes,No,No,No,No,Yes,Yes,No,Month-to-month,Electronic check,43.1,2542.33,No
5673-SZVXU,0,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,24.68,1113.75,No
7987-IXZND,0,39,Yes,Yes,No,No,No,No,No,Yes,One year,Bank transfer,64.42,2512.51,No
1383-MQOXN,0,12,Yes,No,No,No,Yes,No,Yes,Yes,Two year,Bank transfer,70.64,815.27,No
6948-TXPOC,0,33,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,49.88,1675.42,No
6780-EJNCS,1,62,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Mailed check,23.2,1397.59,No
3524-NJJKB,0,1,Yes,No,No,Yes,No,No,Yes,Yes,Two year,Electronic check,29.38,56.05,No
