StudentRef,study_hours_per_week,attendance_percent,previous_exam_score,age,parental_education,school_type,internet_access,extracurricular,grade
STU-20098,6.9,90.4,77.5,18,Masters,Public,Yes,Yes,B
STU-20099,20.3,100.0,65.2,18,High School,Public,Yes,No,A
STU-20100,25.0,90.4,68.3,15,Masters,Public,Yes,Yes,A
STU-20101,7.0,58.2,67.2,17,High School,Private,Yes,Yes,C
STU-20102,19.0,77.6,78.2,15,High School,Private,Yes,Yes,A
STU-20103,2.8,76.3,98.4,16,Bachelors,Private,Yes,No,D
STU-20104,18.7,92.9,72.3,16,Masters,Private,Yes,No,A
STU-20105,8.9,87.8,100.0,18,High School,Public,Yes,No,B
STU-20106,1.9,93.6,57.3,18,Masters,Private,Yes,No,C
STU-20107,4.4,57.8,81.6,15,Masters,Private,Yes,No,B
STU-20108,14.2,100.0,59.7,15,Masters,Public,Yes,Yes,B
STU-20109,11.8,78.5,72.3,17,Bachelors,Public,Yes,No,A
STU-20110,17.2,95.0,69.0,15,Bachelors,Private,No,Yes,A
STU-20111,8.7,87.8,42.0,15,Bachelors,Private,No,Yes,C
STU-20112,14.9,67.6,66.7,15,Masters,Private,Yes,No,A
STU-20113,9.4,68.5,76.4,18,High School,Public,Yes,No,C
STU-20114,19.2,89.5,74.9,15,Masters,Private,Yes,No,B
STU-20115,0.2,97.5,48.4,15,PhD,Private,No,No,D
STU-20116,14.7,67.1,48.9,16,Bachelors,Public,Yes,No,B
STU-20117,14.7,63.6,79.6,18,Bachelors,Public,Yes,Yes,A
STU-20118,1.5,50.0,55.2,17,PhD,Private,Yes,No,F
STU-20119,19.1,66.6,100.0,18,Masters,Public,Yes,Yes,A
STU-20120,15.9,69.3,75.0,15,High School,Private,Yes,No,C
STU-20121,23.8,76.0,75.4,15,High School,Private,No,No,B
STU-20122,4.7,89.3,67.8,15,Bachelors,Public,Yes,No,C
STU-20123,10.6,73.0,58.7,18,Masters,Public,Yes,Yes,B
STU-20124,21.6,63.7,74.5,15,PhD,Public,Yes,Yes,B
STU-20125,23.6,74.5,67.1,17,PhD,Public,Yes,No,A
STU-20126,17.1,79.0,92.9,17,PhD,Public,Yes,Yes,A
STU-20127,8.8,82.3,72.9,17,Bachelors,Public,Yes,No,F
STU-20128,18.6,82.1,74.2,18,Masters,Public,No,Yes,B
STU-20129,11.4,77.4,86.4,16,Bachelors,Public,No,Yes,B
STU-20130,13.4,88.2,85.2,18,High School,Public,Yes,No,C
STU-20131,16.9,75.7,40.1,17,Masters,Private,Yes,Yes,A
STU-20132,23.3,64.5,100.0,16,Bachelors,Public,Yes,Yes,A
STU-20133,0.2,77.4,47.6,15,Masters,Public,Yes,No,C
STU-20134,17.5,100.0,55.3,18,High School,Private,Yes,No,B
STU-20135,22.9,67.8,66.0,15,High School,Public,Yes,Yes,B
STU-20136,9.4,100.0,58.6,16,Bachelors,Private,Yes,No,A
STU-20137,5.9,72.5,97.7,15,High School,Public,Yes,No,C
STU-20138,14.2,90.6,71.0,18,Bachelors,Private,Yes,Yes,B
STU-20139,0.8,,53.6,18,Bachelors,Public,Yes,Yes,F
STU-20140,20.1,78.5,64.9,17,Masters,Public,Yes,Yes,A
STU-20141,12.2,100.0,58.6,16,High School,Private,Yes,No,B
STU-20142,16.6,62.6,60.3,17,Masters,Public,Yes,Yes,D
STU-20143,19.5,69.3,76.4,17,Masters,Private,No,Yes,B
STU-20144,0.5,84.7,78.6,16,High School,Public,Yes,No,D
STU-20145,4.7,85.2,68.2,15,High School,Public,Yes,Yes,C
STU-20146,10.4,58.1,50.8,17,High School,Private,Yes,No,D
STU-20147,15.2,61.4,61.0,17,Bachelors,Public,Yes,Yes,C
STU-20148,9.2,84.2,84.4,18,PhD,Public,Yes,No,C
STU-20149,7.0,84.4,78.5,17,Masters,Private,Yes,Yes,C
STU-20150,0.6,90.9,65.8,15,Bachelors,Public,Yes,No,C
STU-20151,10.7,77.6,81.9,15,Masters,Public,Yes,Yes,B
STU-20152,23.5,89.3,42.6,16,Masters,Private,Yes,No,A
STU-20153,0.7,97.9,60.2,18,Bachelors,Private,Yes,Yes,C
STU-20154,15.0,62.0,71.1,15,High School,Public,Yes,Yes,B
STU-20155,5.1,95.0,75.2,15,High School,Public,Yes,Yes,B
STU-20156,24.3,91.2,86.4,17,High School,Private,Yes,No,A
STU-20157,20.2,99.0,71.8,15,Bachelors,Public,Yes,Yes,A
STU-20158,5.4,74.3,75.1,17,Bachelors,Public,Yes,Yes,C
STU-20159,24.3,79.6,72.9,15,Masters,Private,Yes,Yes,A
STU-20160,7.8,81.2,54.7,18,Masters,Public,Yes,Yes,B
STU-20161,17.3,73.0,67.8,17,Masters,Private,Yes,Yes,A
STU-20162,6.5,95.0,92.0,16,PhD,Private,No,No,B
STU-20163,7.3,83.4,81.4,16,High School,Public,Yes,No,C
STU-20164,1.6,65.4,66.0,16,High School,Public,Yes,Yes,C
STU-20165,7.3,83.9,70.8,18,Bachelors,Public,Yes,No,D
STU-20166,10.3,64.4,96.5,17,Masters,Public,Yes,Yes,B
STU-20167,0.7,,94.4,17,Masters,Public,Yes,Yes,C
STU-20168,0.3,64.8,98.8,15,High School,Private,Yes,Yes,B
STU-20169,0.3,80.4,90.1,15,Masters,Private,Yes,Yes,C
STU-20170,22.0,81.8,68.7,17,Bachelors,Public,Yes,No,A
STU-20171,10.4,78.5,67.9,16,Masters,Public,Yes,No,C
STU-20172,22.9,88.0,46.6,18,High School,Public,Yes,Yes,A
STU-20173,12.0,100.0,90.0,15,Bachelors,Public,Yes,No,A
STU-20174,14.0,63.5,89.2,18,High School,Private,Yes,Yes,B
STU-20175,9.3,86.4,100.0,18,High School,Public,Yes,No,A
STU-20176,19.5,84.1,59.3,17,High School,Public,Yes,Yes,B
STU-20177,8.6,62.6,96.8,17,Bachelors,Private,Yes,Yes,B
STU-20178,20.2,72.7,79.3,15,Bachelors,Public,Yes,No,C
STU-20179,9.8,83.1,73.2,17,High School,Private,Yes,No,C
STU-20180,3.2,80.5,75.2,17,Bachelors,Private,Yes,No,D
STU-20181,10.4,67.8,54.0,17,Masters,Public,Yes,No,B
STU-20182,0.7,91.3,70.2,17,Bachelors,Public,Yes,Yes,D
STU-20183,9.7,83.6,56.4,18,Bachelors,Private,Yes,No,C
STU-20184,9.7,89.4,64.0,16,Bachelors,Public,Yes,Yes,C
STU-20185,17.7,100.0,74.5,16,Bachelors,Public,Yes,Yes,A
STU-20186,25.0,61.5,64.2,15,Masters,Public,Yes,No,A
STU-20187,3.9,94.5,82.0,15,Bachelors,Public,Yes,No,B
STU-20188,15.2,87.0,60.9,17,Bachelors,Public,No,Yes,D
STU-20189,20.9,67.3,63.1,18,Bachelors,Private,Yes,No,A
STU-20190,17.0,79.2,62.8,17,Bachelors,Public,Yes,Yes,B
STU-20191,5.8,74.0,74.5,15,Bachelors,Public,No,Yes,A
STU-20192,10.5,62.9,75.3,15,PhD,Public,Yes,Yes,B
STU-20193,23.3,91.8,86.4,16,High School,Public,Yes,Yes,B
STU-20194,13.0,68.7,66.9,15,PhD,Public,Yes,No,C
STU-20195,16.9,50.3,61.6,17,Bachelors,Public,Yes,Yes,D
STU-20196,7.7,92.1,75.9,15,High School,Private,Yes,No,B
STU-20197,19.8,72.9,98.5,16,High School,Private,Yes,Yes,A
STU-20198,14.1,85.4,84.9,16,Bachelors,Public,Yes,No,A
STU-20199,19.7,83.0,43.7,15,Bachelors,Public,Yes,No,A
STU-20200,7.0,75.5,73.4,17,Masters,Public,Yes,No,D
STU-20201,5.8,74.4,65.8,18,High School,Private,Yes,No,D
STU-20202,4.5,43.0,68.9,15,High School,Private,Yes,Yes,D
STU-20203,14.9,74.0,84.2,15,Bachelors,Private,Yes,No,B
STU-20204,2.0,63.4,72.7,15,Masters,Public,Yes,Yes,D
STU-20205,8.6,87.4,70.4,15,Masters,Private,Yes,No,A
STU-20206,16.6,68.6,48.0,17,High School,Public,Yes,No,D
STU-20207,6.9,70.4,70.3,15,Masters,Public,No,No,D
STU-20208,6.5,81.4,60.8,16,High School,Public,Yes,Yes,D
STU-20209,5.9,63.2,75.6,15,High School,Private,Yes,Yes,D
STU-20210,11.8,69.6,88.0,18,PhD,Public,Yes,Yes,C
STU-20211,18.9,72.9,58.8,17,Bachelors,Private,Yes,No,B
STU-20212,6.6,85.8,68.5,17,Bachelors,Public,Yes,No,D
STU-20213,13.3,58.8,81.0,15,PhD,Private,Yes,Yes,A
STU-20214,24.8,91.1,47.5,17,High School,Private,Yes,Yes,B
STU-20215,12.5,77.9,61.3,15,Bachelors,Public,Yes,No,C
STU-20216,6.7,72.6,50.2,16,PhD,Public,Yes,Yes,F
STU-20217,21.0,85.0,62.6,16,Bachelors,Public,Yes,No,A
STU-20218,22.6,,70.3,17,Bachelors,Public,Yes,Yes,B
STU-20219,18.7,96.8,66.6,17,Bachelors,Private,Yes,Yes,A
STU-20220,8.1,64.7,93.1,15,High School,Public,Yes,No,D
STU-20221,12.5,99.6,83.5,17,Bachelors,Private,Yes,No,A
STU-20222,8.0,80.5,74.6,15,Bachelors,Public,Yes,Yes,F
STU-20223,23.1,99.0,88.6,15,Masters,Private,Yes,No,A
STU-20224,0.3,64.5,100.0,17,Bachelors,Private,Yes,Yes,D
STU-20225,21.9,77.5,66.3,16,High School,Public,Yes,No,B
STU-20226,6.5,78.3,69.3,15,Bachelors,Public,Yes,No,D
STU-20227,3.7,61.4,77.0,17,High School,Public,Yes,No,D
STU-20228,21.0,73.3,87.8,18,Bachelors,Public,Yes,Yes,B
STU-20229,19.8,93.1,41.8,18,High School,Public,Yes,Yes,B
STU-20230,1.0,96.2,71.0,16,Bachelors,Private,Yes,Yes,C
STU-20231,7.4,,100.0,18,High School,Public,Yes,No,B
STU-20232,2.4,84.0,72.5,15,High School,Private,Yes,Yes,C
STU-20233,18.7,73.4,100.0,16,High School,Public,Yes,Yes,B
STU-20234,22.6,100.0,100.0,18,Masters,Public,Yes,No,A
STU-20235,7.3,60.3,83.8,18,Bachelors,Public,Yes,No,C
STU-20236,8.9,62.3,100.0,18,Bachelors,Private,Yes,Yes,B
STU-20237,0.8,68.6,73.0,18,Bachelors,Public,Yes,Yes,D
STU-20238,2.5,82.4,46.1,18,Masters,Public,Yes,Yes,D
STU-20239,1.6,73.1,65.2,16,Masters,Public,No,Yes,D
STU-20240,18.1,91.1,94.5,15,Bachelors,Public,No,Yes,A
STU-20241,5.2,56.9,100.0,16,Masters,Public,Yes,No,B
STU-20242,11.7,91.9,81.4,15,Masters,Public,Yes,Yes,B
STU-20243,6.8,100.0,48.1,15,Bachelors,Private,Yes,No,C
STU-20244,13.0,92.6,72.6,16,High School,Private,Yes,No,B
STU-20245,13.9,75.5,42.4,15,PhD,Public,No,Yes,C
STU-20246,8.7,71.0,73.8,17,Masters,Public,Yes,Yes,D
STU-20247,6.6,95.7,97.0,15,High School,Private,Yes,No,B
STU-20248,22.7,55.0,58.6,16,Masters,Private,No,No,A
STU-20249,23.4,68.2,59.2,17,Bachelors,Public,Yes,Yes,A
STU-20250,11.7,55.3,65.4,17,Masters,Public,Yes,No,D
STU-20251,9.9,77.7,67.2,15,Bachelors,Public,Yes,No,C
STU-20252,13.0,100.0,81.4,16,Bachelors,Private,Yes,No,A
STU-20253,13.5,73.5,77.8,18,Bachelors,Public,Yes,Yes,A
STU-20254,23.9,95.4,83.9,17,High School,Public,Yes,No,A
STU-20255,10.8,64.0,57.3,17,Bachelors,Public,Yes,Yes,C
STU-20256,8.6,71.7,90.7,15,High School,Public,Yes,No,C
STU-20257,23.7,71.4,82.4,17,Masters,Public,Yes,No,B
STU-20258,16.2,95.1,59.2,17,Bachelors,Private,No,No,B
STU-20259,3.4,67.0,64.5,15,PhD,Public,Yes,Yes,C
STU-20260,13.7,,62.7,18,PhD,Public,Yes,Yes,B
STU-20261,20.5,79.8,46.4,17,High School,Public,Yes,No,B
STU-20262,14.1,100.0,100.0,16,PhD,Private,Yes,No,A
STU-20263,6.6,80.6,82.0,18,High School,Public,Yes,No,C
STU-20264,9.1,100.0,73.5,15,Bachelors,Private,Yes,Yes,A
STU-20265,18.2,85.5,89.9,16,Masters,Private,Yes,No,A
STU-20266,13.9,76.1,70.1,17,Masters,Public,Yes,Yes,B
STU-20267,0.4,96.5,70.1,16,Masters,Private,Yes,No,B
STU-20268,8.0,71.3,92.4,17,PhD,Private,Yes,Yes,A
STU-20269,18.5,66.5,56.9,17,Bachelors,Private,Yes,Yes,B
STU-20270,1.5,81.3,59.2,16,Bachelors,Public,Yes,No,C
STU-20271,10.1,,46.8,15,Bachelors,Public,Yes,Yes,C
STU-20272,14.0,62.4,61.9,17,PhD,Public,Yes,Yes,B
STU-20273,7.6,68.0,88.1,16,High School,Public,Yes,No,C
STU-20274,17.2,80.3,64.4,16,High School,Public,Yes,No,D
STU-20275,1.6,94.9,95.5,18,Bachelors,Private,Yes,No,C
STU-20276,23.4,96.5,64.2,18,Masters,Private,No,Yes,A
STU-20277,18.9,76.9,75.5,15,High School,Private,Yes,No,B
STU-20278,21.9,83.2,55.9,17,Masters,Public,No,No,A
STU-20279,13.1,75.3,83.1,17,High School,Public,Yes,No,D
STU-20280,11.6,59.1,100.0,15,Masters,Public,No,Yes,B
STU-20281,7.7,85.7,67.6,15,Bachelors,Public,Yes,No,D
STU-20282,2.5,69.1,47.8,17,Bachelors,Public,Yes,No,F
STU-20283,12.9,90.7,70.6,17,Bachelors,Private,Yes,No,C
STU-20284,7.7,71.8,83.0,18,Bachelors,Public,Yes,Yes,C
STU-20285,21.6,65.1,59.4,16,Bachelors,Public,No,Yes,B
STU-20286,4.1,84.6,100.0,17,Masters,Private,Yes,Yes,B
STU-20287,1.0,71.8,52.4,15,Bachelors,Public,Yes,Yes,F
STU-20288,19.7,60.6,80.8,16,High School,Public,No,No,B
STU-20289,24.5,94.8,93.8,15,Bachelors,Public,No,No,A
STU-20290,10.8,84.4,76.5,18,High School,Public,Yes,No,C
STU-20291,21.8,84.3,91.5,17,Bachelors,Public,Yes,Yes,B
STU-20292,18.0,80.9,79.4,18,Bachelors,Public,Yes,Yes,A
STU-20293,19.7,71.6,65.6,15,Bachelors,Public,Yes,No,B
STU-20294,14.7,,64.7,16,High School,Public,Yes,No,C
STU-20295,12.7,71.5,99.9,17,PhD,Public,Yes,Yes,A
STU-20296,15.7,73.3,44.9,16,PhD,Public,Yes,Yes,A
STU-20297,19.9,85.9,75.5,15,High School,Public,Yes,Yes,C
STU-20298,23.8,60.7,59.5,17,High School,Public,Yes,No,C
STU-20299,22.3,86.7,64.9,18,PhD,Public,No,Yes,B
STU-20300,18.3,80.2,84.6,16,Masters,Public,Yes,No,B
STU-20301,23.3,100.0,58.3,17,Masters,Public,Yes,Yes,A
STU-20302,0.7,69.2,47.7,16,Bachelors,Public,Yes,No,F
STU-20303,0.3,80.0,89.9,16,Masters,Private,Yes,Yes,B
STU-20304,6.4,83.4,90.8,16,High School,Public,No,No,B
STU-20305,0.2,88.4,72.0,18,PhD,Public,Yes,No,D
STU-20306,14.0,98.6,57.6,15,Masters,Public,Yes,No,B
STU-20307,4.9,86.8,56.0,16,High School,Private,Yes,No,C
STU-20308,21.9,59.4,76.2,18,Bachelors,Public,Yes,No,A
STU-20309,2.4,100.0,77.8,18,PhD,Public,Yes,No,D
STU-20310,19.3,50.9,78.6,17,High School,Public,Yes,Yes,B
STU-20311,1.5,89.2,81.2,17,Masters,Public,No,No,C
STU-20312,23.5,99.1,70.9,18,High School,Private,Yes,No,A
STU-20313,9.1,69.9,80.3,18,High School,Public,Yes,Yes,C
STU-20314,7.0,79.2,70.4,16,High School,Public,Yes,No,C
STU-20315,8.0,78.9,76.6,16,High School,Public,No,Yes,D
STU-20316,17.6,63.7,67.4,18,Masters,Public,Yes,No,C
STU-20317,21.6,85.4,75.4,15,Bachelors,Public,Yes,Yes,A
STU-20318,16.7,66.0,56.6,15,High School,Public,Yes,Yes,C
STU-20319,3.5,84.7,67.5,16,High School,Public,Yes,Yes,C
STU-20320,9.3,88.8,53.2,18,Bachelors,Public,Yes,No,B
STU-20321,12.2,95.9,79.4,17,Bachelors,Public,Yes,No,B
STU-20322,6.8,99.8,61.6,16,Masters,Public,Yes,No,A
STU-20323,23.4,86.2,60.3,18,High School,Public,No,No,C
STU-20324,17.7,87.2,60.8,17,Bachelors,Public,Yes,Yes,B
STU-20325,17.5,76.8,57.6,17,Bachelors,Public,Yes,Yes,C
STU-20326,6.2,79.1,55.9,18,High School,Public,Yes,Yes,D
STU-20327,13.3,92.9,79.4,17,High School,Private,Yes,Yes,B
STU-20328,5.8,91.4,78.2,16,Bachelors,Public,Yes,Yes,A
STU-20329,8.1,87.0,84.3,16,Bachelors,Public,Yes,Yes,B
STU-20330,19.4,79.9,61.3,18,High School,Public,No,Yes,C
STU-20331,6.2,95.1,74.4,17,Masters,Public,Yes,Yes,C
STU-20332,17.1,63.6,40.6,16,High School,Private,Yes,No,C
STU-20333,6.0,72.3,84.0,15,PhD,Public,Yes,Yes,C
STU-20334,19.8,83.3,55.0,15,PhD,Private,Yes,Yes,A
STU-20335,4.0,96.5,89.8,15,Masters,Private,Yes,No,C
STU-20336,22.1,62.0,81.2,16,High School,Public,Yes,Yes,C
STU-20337,1.3,64.5,100.0,18,High School,Private,Yes,Yes,C
STU-20338,5.3,62.4,78.3,17,High School,Public,Yes,No,B
STU-20339,16.4,90.7,60.6,15,Bachelors,Private,Yes,Yes,B
STU-20340,9.0,91.7,100.0,18,High School,Public,Yes,Yes,B
STU-20341,4.1,100.0,90.5,16,Bachelors,Private,Yes,No,B
STU-20342,3.8,100.0,88.4,15,Bachelors,Public,No,Yes,C
STU-20343,13.1,62.6,98.1,16,Bachelors,Private,Yes,No,B
STU-20344,7.7,77.3,70.5,17,Masters,Public,Yes,Yes,B
STU-20345,22.6,72.0,35.5,15,Bachelors,Public,No,No,B
STU-20346,18.7,64.1,67.9,15,High School,Private,Yes,No,C
STU-20347,12.2,80.6,62.3,17,Masters,Public,Yes,Yes,C
STU-20348,16.3,72.0,80.9,16,High School,Public,Yes,Yes,A
STU-20349,5.6,82.2,65.2,15,High School,Private,No,No,F
STU-20350,10.8,74.9,79.9,17,High School,Private,No,Yes,C
STU-20351,20.2,58.9,58.2,18,High School,Public,Yes,Yes,B
STU-20352,22.6,88.7,88.5,18,High School,Private,Yes,Yes,A
STU-20353,3.7,88.3,80.8,16,High School,Public,Yes,No,B
STU-20354,8.0,73.7,60.4,15,Masters,Public,Yes,Yes,C
STU-20355,19.3,48.4,92.2,15,Bachelors,Public,Yes,Yes,A
STU-20356,7.2,46.2,94.7,17,High School,Private,No,No,C
STU-20357,8.5,59.9,80.6,15,Bachelors,Public,Yes,No,D
STU-20358,2.4,85.4,62.4,15,High School,Public,Yes,No,C
STU-20359,20.9,89.7,76.8,15,Masters,Public,Yes,No,A
STU-20360,2.8,81.0,73.0,16,Bachelors,Private,Yes,Yes,B
STU-20361,16.9,81.0,64.6,17,PhD,Public,No,Yes,A
STU-20362,2.3,42.9,70.2,16,Bachelors,Private,Yes,No,D
STU-20363,6.6,85.2,69.0,16,High School,Public,No,No,C
STU-20364,23.1,69.9,49.8,16,Bachelors,Public,Yes,No,B
STU-20365,3.0,75.9,70.4,17,High School,Public,Yes,Yes,C
STU-20366,19.6,65.8,54.8,16,High School,Public,Yes,No,C
STU-20367,5.4,50.7,70.6,18,High School,Public,Yes,No,D
STU-20368,20.6,90.9,68.0,16,High School,Public,Yes,Yes,B
STU-20369,8.3,85.3,83.9,15,Bachelors,Private,Yes,Yes,B
STU-20370,13.5,64.3,63.6,16,High School,Public,Yes,Yes,B
STU-20371,20.3,57.2,73.2,15,Bachelors,Public,Yes,No,A
STU-20372,2.2,70.6,48.8,16,Bachelors,Public,No,Yes,D
STU-20373,9.5,92.5,88.8,16,PhD,Public,Yes,Yes,B
STU-20374,22.6,87.7,100.0,17,High School,Public,Yes,No,A
STU-20375,6.6,80.5,69.3,15,High School,Public,No,No,F
STU-20376,14.2,93.1,79.0,18,PhD,Public,Yes,No,B
STU-20377,22.8,84.7,81.7,15,Bachelors,Public,Yes,No,A
STU-20378,17.6,65.9,68.6,16,High School,Private,Yes,No,C
STU-20379,22.9,89.2,84.9,16,Bachelors,Public,No,No,A
STU-20380,13.9,78.8,63.1,18,Bachelors,Public,No,Yes,B
STU-20381,16.8,67.6,69.5,15,Masters,Private,Yes,Yes,B
STU-20382,1.6,96.3,70.1,17,High School,Private,Yes,No,D
STU-20383,23.6,86.0,61.9,16,High School,Public,Yes,No,A
STU-20384,10.5,58.7,49.8,15,Masters,Public,Yes,No,C
